commit,date,method,throughput,us_per_step,avg_accept_len
5d6b1ff,2026-05-13T19:17:34,Transformer AR,1180098,0.85,1.00
5d6b1ff,2026-05-13T19:17:34,DFlash,517238,1.93,8.00
5d6b1ff,2026-05-13T19:17:34,DDTree Build,354030,2.82,0.00
5d6b1ff,2026-05-13T19:17:34,Speculative (Simulated),1019794,4.90,5.00
5d6b1ff,2026-05-13T19:17:34,Speculative (AR Draft),1450197,4.82,7.00
5d6b1ff,2026-05-13T19:17:34,Leviathan (Algorithm 1),111805,10.54,1.18
5d6b1ff,2026-05-13T19:17:34,Leviathan (no rollback),110836,10.64,1.18
5d6b1ff,2026-05-13T19:17:34,Leviathan (w/ rollback),188610,6.23,1.18
5d6b1ff,2026-05-13T19:17:34,Spec (unconditioned),1018386,4.91,5.00
5d6b1ff,2026-05-13T19:17:34,Spec (conditioned),1121202,6.02,6.74
5d6b1ff,2026-05-13T19:17:34,Prefill (no compress),301844,3.31,64.00
5d6b1ff,2026-05-13T19:17:34,Prefill (compressed),280227,3.57,7.00
5d6b1ff,2026-05-13T19:17:34,DDTree (no chain),356307,2.81,16.00
5d6b1ff,2026-05-13T19:17:34,DDTree (chain-seed),380339,2.63,16.00
5d6b1ff,2026-05-13T19:17:34,DDTree (screened R=1.0),289610,3.45,16.00
5d6b1ff,2026-05-13T19:17:34,DDTree (screened adapter),290051,3.45,16.00
5d6b1ff,2026-05-13T19:17:34,forward (flat),1174024,0.85,0.00
5d6b1ff,2026-05-13T19:17:34,forward_paged,1029546,0.97,0.00
5d6b1ff,2026-05-13T19:17:34,forward_raven (16 slots),1727395,0.58,0.00
5d6b1ff,2026-05-13T19:17:34,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),9356725,0.11,63.21
5d6b1ff,2026-05-13T19:17:34,TQ-3bit store+dequant,1501056,0.67,5.33
5d6b1ff,2026-05-13T19:17:34,PFlash block_select (1024 blocks),1180091,0.85,0.00
5d6b1ff,2026-05-13T19:17:34,Hint-δ compute (64 tok),9533723,0.10,0.00
5d6b1ff,2026-05-13T19:17:34,TemplateProposer,2807195,0.36,0.00
5d6b1ff,2026-05-13T19:17:34,G-Zero Pipeline,2164826,0.46,0.00
5d6b1ff,2026-05-13T19:17:34,Blind Spot Arms (absorb),15842638,0.06,0.00
5d6b1ff,2026-05-13T19:17:34,Blind Spot Arms (bandit),15535984,0.06,0.00
5d6b1ff,2026-05-13T19:17:34,Δ-Absorb relevance,499585344,0.00,0.00
5d6b1ff,2026-05-13T19:17:34,Δ-Bandit relevance,183626401,0.01,0.00
