commit,date,features,method,throughput,us_per_step,avg_accept_len
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Transformer AR,926207,1.08,1.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,DFlash,468416,2.13,8.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,DDTree Build,375189,2.67,0.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Speculative (Simulated),1022751,4.89,5.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Speculative (AR Draft),1419529,4.93,7.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Leviathan (Algorithm 1),93071,12.67,1.18
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Leviathan (no rollback),93679,12.58,1.18
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Leviathan (w/ rollback),181805,6.46,1.18
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Spec (unconditioned),1018125,4.91,5.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Spec (conditioned),1062495,6.35,6.74
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,MTP OFF (BPE),2000,500.03,1.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,MTP ON truncate/pad (BPE),1959,510.60,1.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,MTP OFF shared KV (small),3480,1724.25,6.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,MTP ON shared KV (small),1798,1807.11,3.25
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Prefill (no compress),269686,3.71,64.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,Prefill (compressed),252843,3.96,7.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,DDTree (no chain),367569,2.72,16.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,DDTree (chain-seed),391410,2.55,16.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,DDTree (screened R=1.0),288265,3.47,16.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,DDTree (screened adapter),288001,3.47,16.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,forward (flat),939289,1.06,0.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,forward_paged,826251,1.21,0.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,forward_raven (16 slots),1552080,0.64,0.00
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,raven_recall (1000 noise, slot 12=9.9→6.3 acc=63%),2596843,0.39,63.21
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,TQ-3bit store+dequant (alloc),1742602,0.57,5.33
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,TQ-3bit store+dequant (zero-alloc),2417528,0.41,5.33
c34871f,2026-05-15T17:30:38,sparse_mlp+domain_latent+ppot+bandit,PFlash block_select (1024 blocks),1192119,0.84,0.00
